"shapeid","x","y","id","name"
"0","-103.3170581","20.7031222","28774831","NULL"
"1","-103.3151198","20.7060649","28774889","NULL"
"2","-103.3137255","20.7079174","28776032","NULL"
"3","-103.3136154","20.7080216","28776223","NULL"
"4","-103.3136284","20.7081463","28776246","NULL"
"5","-103.3138325","20.7082215","28776279","NULL"
"6","-103.3084946","20.7106232","28777191","NULL"
"7","-103.3265873","20.7031741","28781298","NULL"
"8","-103.3270503","20.6826497","28781514","NULL"
"9","-103.3277058","20.6807444","28781516","NULL"
"10","-103.328055","20.6797337","28781517","NULL"
"11","-103.3283507","20.6788583","28781518","NULL"
"12","-103.329138","20.6765328","28781520","NULL"
"13","-103.329456","20.6756264","28781522","NULL"
"14","-103.3299907","20.6740727","28781523","NULL"
"15","-103.3305215","20.6724837","28781524","NULL"
"16","-103.3308457","20.6715635","28781529","NULL"
"17","-103.3311386","20.670699","28781530","NULL"
"18","-103.3685606","20.6745533","28791354","NULL"
"19","-103.3546029","20.6771868","130153815","NULL"
"20","-103.452157","20.6991885","267535666","NULL"
"21","-103.1393491","20.6053614","267537741","Caseta de Cobro LA JOYA"
"22","-103.354039","20.6801451","286264718","NULL"
"23","-103.3920186","20.6664176","290908456","NULL"
"24","-103.4201875","20.6870097","291069721","NULL"
"25","-103.3394401","20.6793072","291180359","NULL"
"26","-103.3982288","20.6809475","291238619","Hospital Angeles del Carmen"
"27","-103.3553917","20.6669099","291260327","Mexicaltzingo"
"28","-103.4298092","20.6751825","291542068","NULL"
"29","-103.3238733","20.7081013","292038701","NULL"
"30","-103.32128","20.7129152","292038750","NULL"
"31","-103.3805626","20.6328165","294098503","Isla Raza"
"32","-103.384944","20.6268524","294098504","Patria Sur"
"33","-103.3893602","20.6214547","294098505","España"
"34","-103.3956735","20.6137745","294098506","Santuario Mártires de Cristo Rey"
"35","-103.4008979","20.6073349","294098507","Periférico Sur"
"36","-103.3726755","20.6431958","294098625","Urdaneta"
"37","-103.3769001","20.6382183","294099622","18 de Marzo"
"38","-103.3545558","20.7153356","294101509","NULL"
"39","-103.3554839","20.7076802","294101518","División del Norte"
"40","-103.3549928","20.6981187","294101522","Ávila Camacho"
"41","-103.3546195","20.6749084","294101534","NULL"
"42","-103.3523896","20.7303573","294102485","Periférico Norte"
"43","-103.3533496","20.7209546","294102491","Dermatológico"
"44","-103.354398","20.7160761","294102492","Atemajac"
"45","-103.3539273","20.6914827","294102688","Mezquitan"
"46","-103.3540942","20.6822147","294102690","Refugio"
"47","-103.2759828","20.6597589","294103851","Tetlán"
"48","-103.4609367","20.7535859","296344993","Base Aérea Militar de Zapopan"
"49","-103.3548768","20.6715134","313660410","NULL"
"50","-103.3546682","20.6715091","313660411","NULL"
"51","-103.3891482","20.6972507","321256526","NULL"
"52","-103.3548128","20.699218","321258902","NULL"
"53","-103.3548073","20.6993638","321258975","NULL"
"54","-103.3758618","20.712855","321259020","NULL"
"55","-103.3640592","20.7055356","321260763","NULL"
"56","-103.3640044","20.7048711","321260769","NULL"
"57","-103.3454604","20.7282119","321306708","NULL"
"58","-103.3095642","20.7101098","325704382","NULL"
"59","-103.310633","20.7417548","325774452","Mirador del Oblato"
"60","-103.3546391","20.6734342","337893346","NULL"
"61","-103.2855512","20.6624387","340135806","La Aurora"
"62","-103.2972936","20.6638547","340135807","San Jacinto"
"63","-103.3060956","20.6652631","340135808","San Andrés"
"64","-103.3133822","20.6674837","340135813","Cristobal de Oñate"
"65","-103.3225123","20.6702443","340135815","Oblatos"
"66","-103.3314649","20.67271","340135816","Belisario Dominguez"
"67","-103.3408541","20.6751517","340135817","San Juan de Dios"
"68","-103.3399729","20.6783167","340147776","NULL"
"69","-103.3379589","20.6820601","340147838","NULL"
"70","-103.3373491","20.6831689","340147856","NULL"
"71","-103.3368867","20.6839907","340147864","NULL"
"72","-103.3363748","20.6849474","340147877","NULL"
"73","-103.3317195","20.6805975","340147966","NULL"
"74","-103.3268877","20.6789319","340148001","NULL"
"75","-103.3220104","20.6866753","340282046","NULL"
"76","-103.3197009","20.6883936","340282049","NULL"
"77","-103.2999844","20.6676726","340331365","Lagunitas"
"78","-103.2842893","20.6698585","344290975","NULL"
"79","-103.2840253","20.6697057","344292027","NULL"
"80","-103.2728232","20.6726871","344814702","NULL"
"81","-103.273012","20.6734179","344814752","NULL"
"82","-103.2720899","20.6731177","344814879","NULL"
"83","-103.2582308","20.6686864","365486255","NULL"
"84","-103.2614186","20.6679494","365487904","NULL"
"85","-103.2500786","20.6655621","365789881","NULL"
"86","-103.2516285","20.6680535","365789887","NULL"
"87","-103.2499813","20.6730962","365790129","NULL"
"88","-103.2500872","20.6650972","365790228","NULL"
"89","-103.2578463","20.6662769","365791206","NULL"
"90","-103.3149834","20.7273182","366388288","NULL"
"91","-103.3137054","20.7315373","366388289","NULL"
"92","-103.3151938","20.7273026","366388298","NULL"
"93","-103.3240818","20.7082114","366388305","NULL"
"94","-103.3349355","20.6881036","366388319","NULL"
"95","-103.3539269","20.683785","377640470","NULL"
"96","-103.3541093","20.6786797","377640734","NULL"
"97","-103.3539549","20.6827759","377640928","NULL"
"98","-103.3538972","20.6845134","377640975","NULL"
"99","-103.3538714","20.6852601","377641060","NULL"
"100","-103.3546326","20.6763597","377647636","NULL"
"101","-103.3539999","20.6810642","377651367","NULL"
"102","-103.3540797","20.6794076","377749724","NULL"
"103","-103.3542855","20.6780816","377751045","NULL"
"104","-103.3691817","20.7216132","494718081","NULL"
"105","-103.3405886","20.6093528","523695634","NULL"
"106","-103.3610578","20.7408928","523772348","NULL"
"107","-103.3550198","20.6993444","559367597","NULL"
"108","-103.3540704","20.6852606","559367700","NULL"
"109","-103.3542207","20.6810653","559367701","NULL"
"110","-103.3547936","20.6771857","559367703","NULL"
"111","-103.3548217","20.6749053","559369299","NULL"
"112","-103.3543036","20.6786824","559369413","NULL"
"113","-103.3545004","20.6780978","559369415","NULL"
"114","-103.3538978","20.6931796","559369713","NULL"
"115","-103.4159212","20.6322311","566530970","Cruz Verde"
"116","-103.3315174","20.6695881","574777539","NULL"
"117","-103.368616","20.6777252","626186845","NULL"
"118","-103.3732983","20.6898284","631800835","NULL"
"119","-103.3668699","20.7364697","638722367","Secundaria Tecnica 24"
"120","-103.3675136","20.7361887","638722682","Capilla de la Iglesia de Jesucristo de los Santos de los Últimos Días"
"121","-103.364885","20.7360382","638722749","Cetis 14"
